wage_eur,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_reactions,movement_balance,power_shot_power,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_sliding_tackle
165000,68,87,74,81,82,86,74,74,69,86,82,82,86,85,86,79,73,78,72,78,84,86,29,30
76000,52,50,85,76,40,66,48,55,74,74,61,72,83,60,82,77,88,64,82,63,40,82,86,80
34000,12,12,12,34,8,28,12,14,24,28,46,54,79,38,56,34,72,18,30,50,24,68,20,16
195000,75,64,66,90,69,88,84,64,86,89,80,78,87,79,68,82,74,62,72,86,45,90,75,77
205000,36,40,83,75,42,55,46,52,76,77,79,86,83,38,52,72,86,53,77,59,43,84,87,85
115000,34,22,86,78,33,43,28,30,69,63,53,87,81,33,77,66,94,62,83,40,32,75,85,87
73000,64,80,86,85,74,86,78,75,85,87,66,67,80,59,83,85,88,80,73,85,56,82,75,72
150000,63,64,75,85,59,76,65,54,82,82,68,66,82,72,74,84,80,76,76,82,46,85,82,78
77000,69,78,83,85,76,81,72,60,83,85,71,70,82,69,82,87,77,81,69,82,55,83,77,77
125000,75,66,75,83,47,76,71,53,82,82,67,69,84,66,78,88,81,65,85,78,91,84,84,85
125000,89,57,63,79,32,78,78,30,71,81,83,86,84,74,74,94,65,65,80,77,55,79,81,80
69000,47,37,81,69,30,50,36,44,62,60,67,70,79,39,72,64,88,48,89,27,38,75,88,86
175000,55,39,82,81,37,57,59,31,75,76,77,74,84,60,58,75,82,46,80,66,49,82,90,81
24000,86,77,58,86,86,85,86,87,87,87,79,76,84,79,89,92,67,88,70,88,87,86,66,57
88000,19,18,16,32,13,15,15,14,31,21,63,64,84,62,56,36,73,18,43,48,16,65,13,13
69000,16,10,23,29,10,19,18,11,25,25,42,44,82,42,61,35,74,12,34,42,24,45,25,20
92000,15,8,17,37,13,12,13,12,24,23,44,54,83,52,56,36,74,14,35,50,20,58,11,16
115000,72,84,85,75,77,78,78,66,71,70,64,84,84,46,87,75,95,74,71,73,78,81,30,30
105000,27,25,80,60,16,54,30,10,61,65,81,83,82,60,40,72,82,12,86,22,26,85,87,89
175000,11,15,14,36,12,19,12,13,41,24,56,52,79,49,59,41,63,20,40,42,22,64,17,15
135000,82,63,74,82,68,79,78,85,79,82,79,86,84,78,85,85,74,80,69,77,79,80,80,80
115000,46,89,88,73,85,75,58,45,54,80,76,75,85,76,84,67,73,70,56,64,82,79,45,20
205000,84,41,70,83,34,78,74,47,74,84,79,83,84,82,68,90,74,36,84,74,45,82,83,85
39000,84,73,53,86,74,83,90,78,89,83,83,77,84,78,80,84,58,77,73,89,67,77,44,40
15000,70,86,83,77,88,77,80,78,73,84,57,55,82,39,90,59,87,88,84,84,89,90,28,24
92000,81,79,38,81,72,85,79,79,74,85,94,85,81,94,76,70,46,79,56,85,72,84,50,34
175000,68,88,77,75,88,80,74,62,60,84,62,64,86,69,86,60,84,80,50,75,70,85,35,18
145000,74,60,68,83,72,76,60,52,77,79,77,73,84,79,78,90,74,67,86,74,56,82,85,86
250000,86,84,84,81,85,83,90,87,80,84,90,91,80,65,92,73,80,90,65,79,76,85,54,52
205000,89,73,75,85,63,89,84,67,77,92,82,80,85,86,82,79,78,70,81,80,59,85,71,82
110000,69,71,81,89,77,78,69,68,84,84,67,77,85,67,78,82,82,74,79,80,76,92,82,83
155000,84,55,76,81,68,80,78,59,71,81,81,85,84,77,80,91,78,72,82,70,60,82,81,84
49000,80,88,78,79,83,86,80,76,68,85,80,76,85,72,79,71,60,82,63,79,82,85,39,18
88000,86,72,61,89,56,82,85,76,87,85,70,67,87,80,84,92,75,81,79,85,59,84,74,64
225000,90,83,62,86,90,85,89,86,83,90,57,54,84,76,86,65,64,92,60,86,81,87,52,44
110000,70,74,59,86,56,84,65,49,79,84,79,71,89,86,73,94,79,69,90,80,53,85,88,86
61000,78,78,37,83,80,92,81,48,59,88,89,87,84,90,68,77,59,62,43,83,57,80,32,34
70000,73,81,74,85,80,84,79,53,78,87,77,89,82,73,73,82,65,75,41,82,69,84,39,38
195000,84,79,43,82,76,89,82,64,76,85,94,93,78,83,83,69,52,78,54,78,75,82,42,33
92000,25,11,18,51,18,10,25,19,53,16,34,33,78,39,65,37,51,14,18,57,24,63,19,16
150000,86,58,68,81,62,85,82,69,75,84,89,90,84,79,80,92,60,68,73,78,46,82,79,80
115000,68,82,83,84,79,83,75,68,80,86,68,76,86,62,78,89,72,80,84,83,74,87,70,63
110000,78,53,82,79,46,65,59,39,63,79,79,83,85,68,62,83,79,51,86,63,42,76,81,86
180000,70,69,58,88,63,86,74,60,82,88,71,67,83,89,74,73,67,73,75,86,69,81,76,70
110000,83,78,65,80,74,84,85,88,74,85,87,87,79,79,87,79,80,81,75,85,71,78,29,20
120000,75,76,80,84,68,81,76,75,79,84,84,78,84,70,79,86,75,83,80,82,60,80,72,73
94000,78,79,53,86,78,86,77,59,80,86,78,86,83,78,81,78,74,80,43,84,54,82,39,29
120000,79,76,52,78,77,87,84,70,72,87,94,91,84,85,80,69,64,73,36,79,70,76,29,21
120000,76,81,44,79,83,87,70,62,69,83,92,89,82,88,86,74,69,81,63,77,68,78,45,45
40000,83,82,49,83,77,90,81,80,75,89,79,77,78,91,84,74,82,82,73,81,74,89,31,25
91000,9,9,13,45,10,16,9,8,42,30,55,56,79,44,59,43,68,14,28,54,23,66,27,18
78000,76,77,49,88,76,86,86,81,87,88,75,68,80,74,77,70,65,76,29,85,56,72,48,41
23000,89,65,74,84,67,82,87,79,87,83,84,85,83,70,80,91,68,76,78,76,81,80,80,79
37000,11,16,14,28,19,12,10,14,17,19,35,37,82,27,53,20,68,17,22,25,18,39,12,14
88000,49,25,80,73,27,66,45,16,71,71,65,66,81,59,65,62,78,60,78,64,41,82,88,84
125000,81,74,44,81,73,90,77,69,76,88,89,89,77,87,86,74,55,84,67,81,53,84,47,46
16000,46,46,82,71,23,58,44,47,61,62,64,70,82,48,63,82,83,56,92,48,57,79,86,82
125000,81,73,70,87,76,81,84,81,85,85,60,53,76,85,76,78,60,79,71,86,70,88,71,67
41000,11,11,12,33,13,12,17,12,34,15,45,50,79,55,56,37,76,11,31,49,25,66,13,11
54000,13,10,11,23,12,15,11,11,28,18,50,51,79,55,57,34,66,14,34,55,19,62,14,13
26000,78,74,74,86,77,84,80,70,83,85,70,68,88,67,82,81,67,78,60,86,70,84,75,62
115000,47,44,85,65,46,58,29,35,54,60,66,76,81,64,77,69,87,48,88,45,24,81,85,86
71000,63,62,72,82,59,77,74,47,81,79,64,61,82,80,77,82,63,66,83,81,61,86,82,81
125000,83,73,51,89,80,84,84,76,82,89,72,69,83,71,70,67,56,69,44,90,67,83,24,19
125000,58,43,87,76,58,59,46,45,74,71,45,50,85,49,76,72,85,62,91,74,52,80,85,85
37000,13,13,10,40,8,15,12,13,31,25,48,54,81,58,61,45,68,12,38,58,24,57,9,12
75000,63,88,83,77,77,76,65,54,72,85,61,60,83,36,86,72,81,79,58,75,67,83,58,16
140000,69,70,74,85,73,85,76,67,79,85,79,76,83,84,78,93,72,71,74,78,74,86,76,69
135000,83,79,80,78,81,82,73,75,74,85,83,85,79,74,84,89,76,78,65,76,76,80,64,54
160000,72,85,90,75,86,76,64,49,67,79,61,73,88,55,83,81,87,61,88,74,76,80,59,60
205000,76,75,82,82,78,76,76,68,81,83,68,67,86,75,84,86,83,82,93,82,81,83,82,88
125000,69,34,85,75,52,64,53,31,83,70,64,67,82,52,78,66,91,58,81,75,46,84,83,86
145000,81,46,75,80,51,69,68,58,80,77,73,68,86,73,68,83,70,60,84,74,66,78,85,86
96000,82,78,65,80,84,82,73,65,51,85,88,90,82,80,78,90,54,80,54,78,62,79,64,32
180000,78,71,50,88,75,84,85,74,85,88,67,66,85,77,77,71,73,74,70,86,76,87,75,67
43000,64,81,85,83,75,80,66,72,80,84,74,71,82,72,83,92,82,80,81,79,71,81,75,75
165000,81,51,74,78,57,79,76,71,75,78,87,94,83,70,86,89,77,69,78,69,63,75,78,83
44000,79,80,46,84,63,82,81,79,82,83,77,78,81,70,78,77,67,81,55,87,72,80,60,43
155000,82,64,50,83,76,92,84,78,65,91,95,93,80,91,86,71,58,80,55,80,77,80,45,34
26000,81,76,45,86,77,81,83,76,85,83,82,73,83,77,76,85,59,78,68,86,80,85,66,52
36000,83,83,66,85,79,85,85,76,80,88,68,68,84,84,77,85,70,73,56,88,84,87,48,26
92000,82,81,58,86,80,88,85,85,74,88,72,69,83,61,88,70,72,89,58,87,78,80,53,26
195000,81,77,48,78,76,90,84,78,75,90,87,82,77,87,79,76,54,80,48,81,70,84,45,22
67000,82,80,45,83,74,81,74,60,71,84,90,87,80,89,80,90,58,77,47,79,75,82,55,40
74000,45,39,81,72,44,57,32,30,67,64,60,67,80,55,46,79,88,41,92,50,47,75,85,80
76000,72,79,67,81,67,85,75,59,81,85,68,63,83,66,75,73,69,83,68,84,67,77,70,75
46000,36,30,77,72,28,65,36,24,71,70,60,66,78,53,64,72,80,46,85,45,34,76,88,82
105000,78,80,57,83,69,85,82,71,83,86,76,78,82,79,82,79,70,76,72,85,65,81,61,62
78000,88,56,68,81,50,76,82,80,82,82,79,81,82,74,76,83,62,63,73,78,55,75,76,79
155000,67,86,79,74,84,81,77,46,58,83,76,77,83,77,83,76,78,76,62,70,66,79,25,16
91000,58,88,80,66,78,76,74,84,62,81,67,71,77,63,86,70,80,82,67,60,79,78,35,32
140000,72,82,69,78,74,87,84,54,60,86,88,89,80,79,84,75,74,77,58,73,81,79,34,36
38000,75,80,77,81,76,82,86,87,79,84,78,76,79,70,84,79,72,88,67,81,75,74,53,42
67000,35,20,80,75,24,55,30,27,69,64,64,77,81,38,44,64,93,25,76,61,38,75,83,84
110000,67,75,82,84,62,77,66,73,86,82,73,66,83,74,82,84,76,81,81,80,70,74,75,71
38000,24,19,15,38,17,18,23,21,41,16,45,52,74,57,59,42,52,18,39,62,25,62,19,11
46000,78,77,60,77,71,86,76,70,69,81,91,90,83,77,85,76,68,84,67,77,69,80,24,30
97000,78,82,57,75,70,86,79,72,67,82,90,91,83,79,80,84,68,79,43,80,85,83,36,25
77000,53,36,79,80,42,69,46,30,79,76,70,85,84,64,69,74,84,48,76,67,40,80,84,80
125000,74,81,72,75,76,85,82,76,63,83,89,94,81,75,88,87,75,79,73,75,76,78,47,33
140000,62,29,83,82,27,69,47,29,75,80,65,71,82,59,46,77,77,38,79,67,44,82,85,82
120000,70,69,77,85,72,79,73,59,83,84,71,74,83,72,80,80,83,79,76,80,67,84,70,75
18000,84,50,65,81,58,84,85,81,79,83,86,84,83,86,79,90,63,79,68,68,51,81,75,79
70000,69,86,77,77,84,83,63,56,55,84,93,92,86,76,79,83,65,70,63,61,72,74,39,19
64000,83,75,54,84,76,85,85,81,75,86,83,83,79,86,79,77,64,78,63,84,68,80,55,63
93000,36,40,80,76,28,63,30,27,67,73,68,79,79,55,66,75,83,44,87,49,44,75,82,86
180000,82,78,57,82,79,85,83,76,81,87,83,80,78,76,86,79,61,84,45,82,62,83,40,39
97000,85,60,71,81,68,78,81,83,73,83,79,78,83,78,83,85,69,76,76,73,60,79,78,84
100000,81,76,65,84,80,87,78,76,77,88,78,77,81,75,86,68,66,81,48,82,65,83,39,44
78000,17,19,15,55,20,14,18,16,56,40,53,44,84,55,65,45,70,13,42,68,45,68,21,12
23000,78,80,53,75,68,88,81,79,71,87,91,90,82,71,85,74,59,78,61,71,74,75,53,26
41000,50,86,82,71,71,77,41,36,65,80,65,69,78,72,83,76,91,82,68,71,79,82,32,18
50000,15,15,14,35,13,14,20,13,37,23,44,46,82,43,59,44,72,18,33,42,20,40,11,17
89000,78,78,47,75,64,90,57,51,65,87,88,93,77,81,81,76,74,70,73,76,66,81,22,28
105000,53,86,78,79,85,78,85,85,51,82,81,78,85,84,82,65,64,84,57,67,71,84,45,22
80000,73,81,86,78,80,83,76,44,51,82,75,85,80,58,80,70,79,72,56,76,70,76,37,20
120000,40,85,86,76,82,76,57,46,45,80,68,76,84,53,81,72,89,67,76,75,91,82,39,55
35000,68,52,74,81,50,78,80,50,85,81,37,46,74,47,69,83,91,55,78,81,60,89,80,72
130000,82,68,54,85,74,88,82,80,71,88,82,81,80,79,82,79,67,82,52,82,72,82,66,50
35000,60,29,79,74,22,50,51,48,64,71,74,71,81,69,67,73,79,27,88,42,41,72,83,82
29000,81,76,54,86,65,78,77,76,84,84,75,73,81,81,80,77,38,77,43,83,70,75,66,47
42000,13,13,11,25,12,10,14,12,12,24,45,52,81,37,59,45,73,13,30,46,17,62,15,10
36000,57,55,80,82,43,68,66,51,81,78,75,72,83,70,71,69,73,70,80,75,52,76,79,82
105000,84,78,61,83,64,86,84,74,79,85,74,75,77,80,76,71,57,77,46,84,69,74,60,49
39000,17,10,12,50,19,12,10,10,35,32,54,50,80,50,59,40,67,15,25,60,21,61,18,11
130000,75,82,50,77,72,88,71,74,74,83,95,89,81,92,79,76,57,76,72,76,74,82,31,44
60000,82,80,72,83,75,82,84,72,76,84,87,80,83,71,83,83,66,80,56,80,78,82,46,31
140000,75,57,56,89,71,81,75,76,87,85,61,50,81,72,71,85,66,62,79,87,84,79,62,70
58000,13,15,13,37,17,26,20,13,35,28,37,30,80,49,56,34,69,13,38,50,22,70,13,11
11000,13,12,25,21,14,25,25,13,22,23,56,55,79,46,46,41,70,13,23,62,24,70,24,13
33000,18,13,16,34,16,11,10,14,34,23,40,46,76,45,57,31,70,18,34,37,13,55,12,13
31000,61,45,83,73,46,63,61,52,66,70,48,51,80,41,73,65,87,55,83,59,63,81,85,81
45000,38,27,77,74,31,59,53,45,72,71,50,46,82,56,65,45,81,53,81,57,37,75,89,85
46000,66,89,69,79,88,79,78,78,73,84,70,68,84,76,90,65,74,89,44,77,85,84,35,15
82000,18,12,16,44,15,12,13,15,46,40,56,60,81,47,59,34,64,14,35,59,26,67,14,13
64000,55,86,89,78,83,74,81,72,58,81,66,64,82,75,78,67,72,77,73,70,81,85,39,19
32000,48,43,80,70,51,67,32,39,69,71,62,66,80,57,70,59,77,41,82,58,49,81,85,83
17000,78,85,67,81,82,84,84,71,66,85,80,80,83,81,76,74,67,84,57,81,72,83,31,14
48000,62,51,80,72,49,60,55,74,72,70,40,45,77,33,80,66,90,64,80,63,69,77,82,83
82000,12,12,11,31,17,20,10,16,30,23,53,57,77,54,58,45,77,11,39,64,32,66,14,11
51000,73,75,59,84,75,83,73,68,81,84,72,72,85,83,84,89,76,86,88,76,63,84,83,90
26000,80,68,55,86,65,83,83,81,85,85,64,59,78,79,76,70,67,80,83,84,78,80,80,78
80000,65,85,84,65,81,77,62,59,52,82,71,75,83,51,83,74,90,74,93,74,75,83,58,30
135000,72,68,76,85,78,80,64,60,81,83,48,53,84,54,82,68,87,78,82,78,68,84,80,74
105000,68,55,81,77,63,66,70,76,82,79,58,63,77,56,81,65,79,73,86,71,75,77,79,81
105000,81,84,63,85,80,83,82,69,82,86,67,65,85,77,81,73,73,79,62,85,92,87,57,29
115000,82,67,65,84,71,76,80,74,84,81,65,64,84,70,77,90,74,71,82,83,64,78,79,76
120000,86,78,60,85,75,82,87,86,77,85,57,56,79,63,84,86,65,86,57,86,79,84,57,55
140000,75,75,58,84,79,81,70,66,80,83,66,69,81,74,81,89,67,74,74,81,75,81,68,68
42000,68,72,51,85,58,78,76,68,82,83,62,47,84,73,69,73,68,76,76,86,50,79,83,80
31000,80,62,75,83,66,75,84,62,83,82,61,48,85,72,73,76,74,65,70,77,54,83,82,79
67000,11,11,11,15,9,10,11,15,20,20,38,44,83,39,52,34,55,14,31,53,20,48,10,13
145000,52,54,84,75,57,51,50,39,72,70,55,57,78,58,69,65,79,56,91,53,45,79,82,83
135000,78,64,58,81,70,90,78,69,69,85,90,92,78,81,84,74,58,80,78,76,65,80,63,74
100000,60,50,69,79,32,76,45,61,77,79,74,72,83,80,80,90,69,66,85,65,54,80,84,83
77000,72,63,34,84,68,86,78,75,79,84,83,70,84,82,69,90,47,73,64,82,64,83,65,59
60000,72,80,80,80,77,82,83,67,58,82,88,91,82,74,83,74,71,76,60,77,77,80,44,40
86000,78,66,53,85,68,79,75,76,84,83,72,55,86,86,80,87,64,77,80,81,76,81,76,72
67000,74,88,74,80,83,85,80,76,66,84,88,81,83,89,81,68,59,69,55,80,76,84,34,26
64000,25,37,82,73,39,65,62,56,77,72,61,52,83,35,75,82,86,60,75,65,72,85,87,85
21000,55,60,77,83,55,76,48,53,81,78,62,68,75,60,74,82,89,63,83,73,57,84,83,71
61000,76,86,69,79,85,86,79,74,53,85,76,70,83,83,83,77,67,85,73,72,90,82,35,26
60000,56,85,83,73,82,75,59,67,47,74,79,83,84,55,85,56,87,82,65,58,77,79,26,24
43000,40,38,83,74,44,56,45,49,61,70,83,78,85,68,53,76,73,41,88,42,56,71,85,82
51000,83,74,64,83,76,85,86,78,82,83,88,87,84,76,82,86,70,78,62,83,77,81,24,33
39000,82,86,44,81,64,85,69,71,73,84,74,76,81,75,80,78,57,81,52,79,76,70,55,30
65000,77,75,57,76,75,86,78,79,66,82,93,90,80,84,79,76,59,79,58,77,71,75,45,18
140000,66,84,75,76,72,86,76,54,66,85,87,83,85,90,78,83,63,73,73,77,78,81,53,19
125000,73,61,42,88,76,86,78,68,81,89,79,73,76,84,79,78,63,75,77,83,59,81,70,63
63000,42,88,84,68,82,78,64,56,42,75,77,77,76,75,81,81,82,67,83,61,77,75,55,32
39000,18,18,11,26,11,14,14,12,22,15,41,46,74,47,56,23,66,14,20,49,21,61,20,12
95000,62,74,42,85,71,88,64,70,76,88,77,66,81,90,76,79,57,73,78,80,58,81,68,62
80000,74,61,59,83,65,78,70,78,76,81,79,72,79,93,78,86,66,74,87,74,48,78,84,77
89000,77,64,53,85,81,75,84,83,86,82,64,60,78,70,86,78,67,83,82,85,76,83,69,69
75000,62,31,79,79,33,58,50,32,75,78,73,77,77,62,55,80,84,39,88,60,50,80,79,81
22000,74,74,60,83,67,87,77,66,62,85,88,89,81,89,83,81,80,72,44,79,61,77,52,26
18000,15,12,20,33,13,26,30,17,26,38,64,62,80,53,65,39,67,17,29,62,27,57,12,14
150000,76,50,58,76,42,80,61,30,65,80,91,92,82,82,74,91,65,60,81,62,38,79,77,80
71000,20,19,14,48,16,12,16,16,37,22,56,54,79,58,60,38,80,14,26,51,25,64,13,12
90000,11,11,12,33,19,19,15,13,31,23,57,56,77,30,53,30,52,17,25,44,21,65,20,19
95000,40,33,84,69,35,64,45,25,65,65,61,66,78,55,58,67,78,39,72,50,36,70,86,82
59000,74,82,67,77,79,87,82,65,65,87,87,80,82,81,80,74,64,83,58,80,55,74,58,44
36000,78,83,71,74,74,83,76,53,66,77,93,95,80,64,85,82,85,73,73,73,64,78,52,31
26000,75,76,58,74,74,83,72,65,67,81,94,93,83,76,76,82,59,74,64,74,73,76,42,29
47000,80,70,51,76,74,87,82,60,55,81,95,95,81,92,72,86,48,69,60,78,66,82,54,36
42000,13,11,10,17,10,11,20,19,21,23,44,40,78,25,59,34,55,10,23,41,20,63,17,12
68000,66,68,68,84,53,79,68,58,80,81,70,75,81,50,83,91,81,80,82,78,49,75,79,81
75000,72,74,46,85,59,86,85,81,82,85,67,67,84,78,77,77,67,77,69,86,70,84,72,54
99000,54,36,82,77,50,69,63,22,74,70,54,67,82,42,66,70,80,48,78,72,42,79,83,79
56000,84,70,50,86,72,88,87,80,75,89,82,74,78,84,78,75,55,87,23,83,72,76,50,18
65000,35,34,85,72,27,47,34,28,69,68,52,58,80,45,43,51,77,31,83,41,37,75,86,83
115000,68,32,81,75,34,60,35,56,72,69,66,76,82,50,72,61,82,44,88,57,40,72,82,82
27000,14,16,10,28,13,13,20,20,29,15,48,42,78,53,53,43,75,15,29,48,23,61,17,13
89000,79,62,64,80,56,82,78,45,78,81,85,86,81,77,73,85,66,62,75,76,60,81,78,78
